Vuosi,Kk,Pv,Klo,Aikavyöhyke,Lumensyvyys (cm)
2014,6,14,00:00,UTC,-1
2014,6,15,00:00,UTC,-1
2014,6,16,00:00,UTC,-1
2014,6,17,00:00,UTC,-1
2014,6,18,00:00,UTC,-1
2014,6,19,00:00,UTC,-1
2014,6,20,00:00,UTC,-1
2014,6,21,00:00,UTC,-1
2014,6,22,00:00,UTC,-1
2014,6,23,00:00,UTC,-1
2014,6,24,00:00,UTC,-1
2014,6,25,00:00,UTC,-1
2014,6,26,00:00,UTC,-1
2014,6,27,00:00,UTC,-1
2014,6,28,00:00,UTC,-1
2014,6,29,00:00,UTC,-1
2014,6,30,00:00,UTC,-1
2014,7,1,00:00,UTC,-1
2014,7,2,00:00,UTC,-1
2014,7,3,00:00,UTC,-1
2014,7,4,00:00,UTC,-1
2014,7,5,00:00,UTC,-1
2014,7,6,00:00,UTC,-1
2014,7,7,00:00,UTC,-1
2014,7,8,00:00,UTC,-1
2014,7,9,00:00,UTC,-1
2014,7,10,00:00,UTC,-1
2014,7,11,00:00,UTC,-1
2014,7,12,00:00,UTC,-1
2014,7,13,00:00,UTC,-1
2014,7,14,00:00,UTC,-1
2014,7,15,00:00,UTC,-1
2014,7,16,00:00,UTC,-1
2014,7,17,00:00,UTC,-1
2014,7,18,00:00,UTC,-1
2014,7,19,00:00,UTC,-1
2014,7,20,00:00,UTC,-1
2014,7,21,00:00,UTC,-1
2014,7,22,00:00,UTC,-1
2014,7,23,00:00,UTC,-1
2014,7,24,00:00,UTC,-1
2014,7,25,00:00,UTC,-1
2014,7,26,00:00,UTC,-1
2014,7,27,00:00,UTC,-1
2014,7,28,00:00,UTC,-1
2014,7,29,00:00,UTC,-1
2014,7,30,00:00,UTC,-1
2014,7,31,00:00,UTC,-1
2014,8,1,00:00,UTC,-1
2014,8,2,00:00,UTC,-1
2014,8,3,00:00,UTC,-1
2014,8,4,00:00,UTC,-1
2014,8,5,00:00,UTC,-1
2014,8,6,00:00,UTC,-1
2014,8,7,00:00,UTC,-1
2014,8,8,00:00,UTC,-1
2014,8,9,00:00,UTC,-1
2014,8,10,00:00,UTC,-1
2014,8,11,00:00,UTC,-1
2014,8,12,00:00,UTC,-1
2014,8,13,00:00,UTC,-1
2014,8,14,00:00,UTC,-1
2014,8,15,00:00,UTC,-1
2014,8,16,00:00,UTC,-1
2014,8,17,00:00,UTC,-1
2014,8,18,00:00,UTC,-1
2014,8,19,00:00,UTC,-1
2014,8,20,00:00,UTC,-1
2014,8,21,00:00,UTC,-1
2014,8,22,00:00,UTC,-1
2014,8,23,00:00,UTC,-1
2014,8,24,00:00,UTC,-1
2014,8,25,00:00,UTC,-1
2014,8,26,00:00,UTC,-1
2014,8,27,00:00,UTC,-1
2014,8,28,00:00,UTC,-1
2014,8,29,00:00,UTC,-1
2014,8,30,00:00,UTC,-1
